logVol,logPrice,Fshare,week,Q2,Q3,Q4
6.250523009,0.347999643,0.412606128,107,0,0,0
5.965380146,0.469439208,0.364248974,108,0,0,0
6.128174685,0.596426691,0.006914191,109,0,0,0
5.864325574,0.55183465,0.005593957,110,0,0,0
5.991181721,0.559770034,0.006757801,111,0,0,0
6.030879564,0.579439559,0.000564809,112,0,0,0
5.847500765,0.574430398,0.003102225,113,0,0,0
6.029533691,0.543964896,0.006404435,114,0,0,0
5.901254304,0.569467798,0.001779265,115,0,0,0
5.691989641,0.576045474,0.001999888,116,0,0,0
5.714964351,0.54522878,0.00681943,117,0,0,0
6.209989291,0.550413812,0.003624194,118,1,0,0
6.527342255,0.339132591,0.709188349,119,1,0,0
5.923273558,0.488659646,0.003939311,120,1,0,0
6.255521604,0.281807472,0.482560806,121,1,0,0
5.944964695,0.518766544,0.005304373,122,1,0,0
5.849981314,0.603297168,0.217232971,123,1,0,0
6.027830471,0.562470577,0.006892114,124,1,0,0
6.371967428,0.48402076,0.609417658,125,1,0,0
5.797787805,0.573875323,0.004702124,126,1,0,0
5.905295029,0.56601518,0.008900236,127,1,0,0
5.815090193,0.608010656,0.001034988,128,1,0,0
6.097557784,0.615544214,0.002267094,129,1,0,0
6.543511045,0.443803748,0.573667211,130,1,0,0
5.852489423,0.48755237,0.00406753,131,0,1,0
6.128289981,0.225279739,0.021295665,132,0,1,0
6.194431242,0.267161926,0.510047896,133,0,1,0
5.94962241,0.379920227,0.337785606,134,0,1,0
5.847213273,0.560194627,0.004349195,135,0,1,0
5.781270108,0.59472528,0.005538047,136,0,1,0
5.945052316,0.564104227,0.042390276,137,0,1,0
6.196655098,0.418150928,0.171071076,138,0,1,0
6.120329191,0.249023696,0.517168221,139,0,1,0
6.182283987,0.468292559,0.433999621,140,0,1,0
6.201558217,0.339269742,0.485061487,141,0,1,0
5.904885495,0.555816763,0.008950589,142,0,1,0
5.994484179,0.60182898,0.003557588,143,0,1,0
6.280024084,0.473133748,0.479015553,144,0,0,1
5.76412207,0.611175285,0.135123578,145,0,0,1
5.80589451,0.546996176,0.006359317,146,0,0,1
5.872743833,0.563710976,0.005412726,147,0,0,1
5.709543212,0.541338955,0.005211118,148,0,0,1
5.724589224,0.570436896,0.002877609,149,0,0,1
5.797516888,0.548715786,0.040066111,150,0,0,1
5.729577842,0.521169303,0.061201221,151,0,0,1
5.66098987,0.51398303,0.063821666,152,0,0,1
5.691719816,0.559798637,0.005332138,153,0,0,1
5.938577621,0.544896636,0.006310294,154,0,0,1
5.900907269,0.575741964,0.001598477,155,0,0,1
6.03727259,0.385763313,0.615888515,156,0,0,1
